Priority,Company,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via
HIGH,GitLab,"Senior Backend Engineer, SSCS: Supply Chain","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427064410,,2026-06-11,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Senior Python Fullstack Developer,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415912521,,2026-06-11,Yes,Outreach Pending,,LinkedIn
LOW,Datadog,Software Engineer - Early Career,"Lisbon, Portugal",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4398021710,,2026-06-11,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Software Engineer – Engineer,"Markham, Ontario, Canada",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426153011,,2026-06-11,Yes,Outreach Pending,,LinkedIn
LOW,Rakuten,Bilingual (English/Japanese) Test Engineer - Business Support Development Department (BSD),"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423189657,,2026-06-11,Yes,Outreach Pending,,LinkedIn
LOW,Rakuten,ビジネスサポート開発部：日英バイリンガルテストエンジニア（BSD）,"Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426180401,,2026-06-11,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft AI,Principal Software Engineer (Fullstack - Copilot),"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407469318,,2026-06-11,Yes,Outreach Pending,,LinkedIn
MEDIUM,Rakuten Viki,"Associate Engineer/Engineer, Data Engineering",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4417039978,,2026-06-11,Yes,Outreach Pending,,LinkedIn
LOW,IntelliPro,Application Engineer,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427147400,,2026-06-11,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineering Manager, Databases, Google Cloud","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426038608,,2026-06-11,Yes,Outreach Pending,,LinkedIn
