Priority,Company,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via
MEDIUM,UST,Specialist II - ML Engineering,"Trivandrum, Kerala, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426337990,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Audio Machine Learning Engineer,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425843235,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Senior Software Engineer,"Redmond, WA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407849137,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,IT Technology Services Specialist - Automation Reliability Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4394432107,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer, Information Security Engineering",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415691841,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,InCred Financial Services,Full Stack Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425813561,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Development Engineer II, Amazon Healthcare","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416286040,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,UST,React + Java Developer | Immediate Joiner | Any UST Locations,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425811817,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Adobe,Software Development Engineer,"Noida, Uttar Pradesh, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425823492,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Adobe,Software Development Engineer 4,"Noida, Uttar Pradesh, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425871120,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Software Engineer 2,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426325215,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Shopee,Back End Engineer (Enterprise Efficiency) - Sea Labs,"Jakarta, Indonesia",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4394469009,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer, Google Beam, Full Stack","Seattle, WA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415779736,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,OpenAI,"Full Stack Software Engineer, ChatGPT ImageGen","San Francisco, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426003333,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Bolt,Senior Backend Engineer,"Tallinn, Harjumaa, Estonia",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416263270,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Wise,Staff Software Engineer - Global KYC and Onboarding,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4267767611,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,On,Lead Backend Engineer (Typescript),"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4390992645,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer III, Full Stack, Google Cloud AI","Sunnyvale, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416275083,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Software Engineer, Experimental Projects","Toronto, Ontario, Canada",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426527206,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Software Engineer, Experimental Projects",Remote,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426702337,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Zalando,Senior Software Engineer - Lounge Discover (all genders),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426518629,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Applied Science Intern,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426330068,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Intellect Group,Graduate Software Engineer,"London Area, United Kingdom",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4413928926,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Rakuten,ビジネスサポート開発部：日英バイリンガルテスト自動化エンジニア（BSD）,"Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422247788,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,"Mercari, Inc.","Software Engineer, iOS (Credit) - Merpay","Minato, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4397758510,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Sea,Research Scientist,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4188005650,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Rakuten Symphony,Data Scientist,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426509313,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Staff Software Engineer, Ads","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415705494,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,C++ Developer / Graphics Engineer / Sr Engineer / Lead Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4314032356,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,MongoDB,"Staff Engineer, AMP","Gurugram, Haryana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4397739458,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Hitachi Vantara,Software Development Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426301197,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Meta,"Data Scientist, Product Analytics","Menlo Park, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422267823,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Uber,Data Scientist I,"Chicago, IL",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422268079,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Spotify,Data Scientist,"New York, NY",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426348989,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Uber,Data Scientist I,"Dallas, TX",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422229569,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Zalando,Applied Scientist – Marketing & Personalization,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425907428,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Zalando,Applied Scientist (All genders),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426349483,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Just Eat Takeaway.com,Professional / D - Data Science,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422228038,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Just Eat Takeaway.com,Machine Learning Engineer,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422236006,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Technical Lead Manager, TorchTPU","London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425866069,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Rippling,Compliance Governance Data Scientist,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426315034,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Shopee,[AI] AIGC Post-Training Algorithm Engineer,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4406288579,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,"DATA SCIENTIST, SMAI","Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415661482,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,DATA SCIENTIST,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415664431,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,Data Scientist,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415645675,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,Data Scientist,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415653565,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Senior Staff Engineer- CPU Software & Hardware Co-Design Engineer (ML Systems),"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425839269,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Staff Engineer-CPU SW/HW Co-Design Engineer (ML Systems),"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425843234,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,"Lead Engineer,Senior-","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425833279,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,ConnectWise,Sr. Software Engineer - AI,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425502139,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Data Scientist, IES CFX & Prime","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416275959,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Data scientist,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4405988595,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,Machine Learning Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425809271,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Forward Deployed Engineer, GenAI, Google Cloud (Japanese, English)","Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415665428,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,OP,AI Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426357026,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,UPS,"Intermediate AI Engineer – Python, RAG, Agentic AI, ADK, MCP, GCP, Vertex AI, IBM Watsonx","Chennai, Tamil Nadu, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4320576755,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,#Product Software Engineer,"San Diego, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425843232,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,Software Engineer,"New York, NY",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425548331,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Flix,Senior Kotlin Backend Engineer (m/f/d),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425670202,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Customer Engineer, Platform, Software and Media, DACH (German)","Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415667076,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,xAI,Software Engineer - Sandbox Service,"Greater London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4344789473,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Intellect Group,Full Stack Engineer,"London Area, United Kingdom",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425996571,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Tenth Revolution Group,Full Stack Engineer,"London Area, United Kingdom",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425869018,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Senior Software Engineer, Google Distributed Cloud","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415664670,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,LinkedIn,"Senior Software Engineer, Salesforce","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407156638,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Okta,Staff Front-End Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422231801,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,N26,Data Engineer - Platform Engineering,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426306147,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Okta,Staff Software Engineer - Backend (Spring),"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4412248405,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,PayPal,Senior Software Engineer - Backend (Java),"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426362486,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Senior Software Engineer, Full Stack, Google Cloud","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425542367,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer III, Cloud Networking Diagnostic Tools","Tel Aviv-Yafo, Tel Aviv District, Israel",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425860118,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,MongoDB,"software engineer 3, query execution","Dublin, County Dublin, Ireland",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4385530436,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,Software Engineer,"Mountain View, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425295757,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,Software Engineer,"Sunnyvale, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425284768,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,Software Engineer,"Mountain View, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425530403,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,Software Engineer,"Mountain View, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425291706,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Netflix,Software Engineer - Open Connect Control Plane,Remote,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4350188369,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Notion,"Software Engineer, New Grad (AI)","San Francisco, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407498584,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Integration Engineer, Professional Services","Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425834460,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Novanta Inc.,Junior Test Ingenieur für Test & Verifikation (m/w/d),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422277602,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Flix,Senior Software Engineer (m/f/d),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426318708,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Flix,Senior Full Stack Engineer (m/f/d),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4408006927,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,N26,Software Engineer (ServiceNow) - RegTech,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425999301,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,LexisNexis Intellectual Property Solutions,Software Engineer II (Python & C#),"London Area, United Kingdom",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422286205,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Ki,Senior Full Stack Engineer,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425830207,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Rakuten,Bilingual (English/Japanese) Test Automation Engineer - Business Support Development Department (BSD),"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422251670,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Third Intelligence,Applied Research Engineer,"Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4371353455,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Rakuten,"Application Engineer - Platform Department, System Division, Rakuten Card Co., Ltd.","Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4358961693,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer III, Content Acquisition Platforms","Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415779735,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Garena,"Senior Engineer, Backend Engineering (Garena)",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4386077051,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Senior Software Engineer, Finance and Growth Platform, Payments",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425865073,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Senior Software Engineer, Google Pay and Wallet",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425824981,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Integration Reliability Engineer, Technical Operations","Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425828508,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer, Finance and Growth Platform, Payments",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425870060,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,AMD,Software Development Engineer,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4412803499,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer, Google Wallet",Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415766992,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineering Manager II, Google Cloud","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415700601,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Texas Instruments India,Software Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415670161,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4394479328,,2026-06-09,Yes,Outreach Pending,,LinkedIn
MEDIUM,Texas Instruments India,Software Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415681047,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,SDE2,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4339267548,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Software Engineer II,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426333141,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,Software Development Engineer - II,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425665222,,2026-06-09,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Software Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426317276,,2026-06-09,Yes,Outreach Pending,,LinkedIn
